"Year","xxxstd","samp.depth","max","min","sd"
1956,0.954495839493931,56,1.13115224819285,0.834145113354517,0.0839805931093141
1957,0.958659953948823,57,1.12226347939152,0.886678443007147,0.0702799932855542
1958,0.979157338141265,59,1.09694924745932,0.917610502798883,0.0605695613950682
1959,1.03145026096794,62,1.18337481949423,0.893906309092892,0.0794050167746927
1960,1.05710753182533,65,1.24219212209671,0.934386931837207,0.0918698327235083
1961,1.05820866210151,69,1.17833817466991,0.960204545108727,0.0757905657331236
1962,1.03824737934788,72,1.045093111166,0.941616717499387,0.0323766343080565
1963,0.997695303759153,74,1.0698648285599,0.903959656381339,0.0453949748445821
1964,0.996065141682867,77,1.13453601246969,0.880791811433988,0.0802001145612526
1965,0.986902677835103,80,1.03871107951849,0.845966745757276,0.0623883503065681
1966,0.957722121954929,83,1.03938438970554,0.85469425660177,0.0653001720321193
1967,0.985536909388558,89,1.02909097089,0.798096473311471,0.077708963391251
1968,0.921427041021104,92,1.10649673731833,0.816717257669286,0.0835277049603699
1969,0.938575106371024,95,1.08684392158463,0.85502910884321,0.0697031112768699
1970,0.92377467587106,97,1.07392155604687,0.843202879789222,0.0674811964119875
1971,0.900104925694688,99,0.997802750235386,0.851713282445817,0.0469737955313843
1972,0.949889838454919,102,1.08082606311984,0.869562557191966,0.0615716336537939
1973,0.922428299511393,104,1.03427633309247,0.888338491474059,0.0447761243447207
1974,0.927514330766558,105,1.06675661074908,0.852617202213903,0.0781549099016282
1975,0.89543533258772,105,0.967109796326128,0.870861222663745,0.0332337088392222
1976,0.926125185620428,108,1.0282795806859,0.842701707172023,0.0585369349176052
1977,0.942795669387207,115,1.09456035868929,0.930910990576923,0.056750495066884
1978,0.95120335420391,117,1.05958538582082,0.882514743166198,0.049864145134437
1979,0.973050089348338,119,1.11342137499043,0.927641114656318,0.0502942590082509
1980,0.997281420259396,126,1.09495949392492,0.930491001205143,0.0546046464047708
1981,1.04218433732665,134,1.11626198623748,1.00207926742248,0.0397689820585387
1982,0.986509926788128,139,1.04694798592978,0.865546764029642,0.054074929152533
1983,1.02840442661246,139,1.13957211949945,0.938254714428055,0.0568904467990129
1984,1.04614011501304,145,1.0847169176459,0.963266347462518,0.0441530573759454
1985,1.03290409252711,152,1.11811321896228,0.904553268398475,0.0646917319195376
1986,1.01549995472341,154,1.02657248566498,0.869252565076541,0.053197668049035
1987,1.01489834681396,160,1.07511732671953,0.918386018228424,0.0625144482460309
1988,1.01839495045941,171,1.08375559894651,0.951929298173675,0.0503142654820021
1989,0.967610273961919,175,1.05444977991976,0.840852215248891,0.0683528088788093
1990,1.00368776481058,179,1.11509514494686,0.913813917146012,0.0676992222750851
1991,0.979337463087531,184,1.09004337273338,0.93084506138762,0.0543661094662957
1992,0.933394416650404,185,0.978467688878129,0.859078455098821,0.0446533703313436
1993,0.986726329422537,191,1.09445762183384,0.9286915019595,0.0534025845728209
1994,0.992442246979064,196,1.05233392376544,0.933899398126687,0.0325157394991049
1995,0.981300250221267,203,1.06395575811883,0.955071512568863,0.0340939334345503
1996,1.00999876524816,206,1.03644944003215,0.976944090575979,0.0204115951798962
1997,0.963098883939015,211,1.04272712049855,0.860569765081858,0.0527254262203009
1998,0.985755884757657,217,1.02672483499478,0.921283925548423,0.0336403235818658
1999,0.984548559102547,220,1.03860575608213,0.914191624774785,0.0445219674262954
2000,0.99246167583753,223,1.07358218722167,0.966630687152123,0.0288676537015955
2001,1.01563923925242,225,1.06797767040423,0.952986983388472,0.0402178822925169
2002,0.99225816474958,227,1.06056819159578,0.922179644593476,0.0436828367978915
2003,1.00693789906064,228,1.05594678553033,0.93568025058859,0.0435097147241554
2004,0.974976860481381,234,1.0517202984264,0.952039352749052,0.0300278074876607
2005,0.982665241398687,237,1.09287309329817,0.850032652519512,0.0785242651886555
2006,0.995456258469285,238,1.01097328929598,0.950119758701635,0.0201315971743529
2007,0.977817239013978,239,1.01798939652256,0.941014617664013,0.0250220741953845
2008,1.00694398129022,241,1.12169840833221,0.937894282539102,0.0548083092145554
2009,0.994800134893384,242,1.07749711480511,0.956492479354786,0.0428366522109953
2010,0.979106973707686,245,1.08630552503577,0.930754721584079,0.0473877086265608
2011,1.02192428057909,246,1.08468609693174,0.959631495193354,0.034169474227329
2012,0.971866218799582,246,0.998116415767768,0.915688173188227,0.0336688669548161
2013,1.04853290301035,246,1.07361825147997,0.941916461555923,0.0372444138314709
